time,.header,.latitude,.longitude,.altitude,.utm_easting,.utm_northing,.zone,.letter
2022/02/08/16:22:31.094057,$GPGGA,42.34051666666666,-71.09801833333333,7.4,327172.8839100106,4689716.251225509,19,T
2022/02/08/16:22:32.071775,$GPGGA,42.34052,-71.098015,7.0,327173.1676423795,4689716.614591655,19,T
2022/02/08/16:22:33.071835,$GPGGA,42.34052666666666,-71.09800833333334,6.6,327173.73510702944,4689717.341323976,19,T
2022/02/08/16:22:34.077243,$GPGGA,42.34053333333333,-71.09800166666668,6.3,327174.30257156753,4689718.068056343,19,T
2022/02/08/16:22:35.076494,$GPGGA,42.34053833333334,-71.09799333333333,6.3,327175.0027692508,4689718.60633021,19,T
2022/02/08/16:22:36.072540,$GPGGA,42.340543333333336,-71.09798666666667,6.4,327175.5656671571,4689719.147991846,19,T
2022/02/08/16:22:37.088301,$GPGGA,42.34054833333333,-71.09798166666666,6.4,327175.9912653257,4689719.693041221,19,T
2022/02/08/16:22:38.088874,$GPGGA,42.34055333333334,-71.09797499999999,6.4,327176.55416307296,4689720.2347029345,19,T
2022/02/08/16:22:39.072374,$GPGGA,42.340556666666664,-71.09797,6.4,327176.9751947324,4689720.59468154,19,T
2022/02/08/16:22:40.091724,$GPGGA,42.34056666666667,-71.09796333333334,7.2,327177.55179138575,4689721.691555806,19,T
2022/02/08/16:22:41.092671,$GPGGA,42.34057166666666,-71.09795833333332,7.4,327177.97738925694,4689722.236605294,19,T
2022/02/08/16:22:42.107215,$GPGGA,42.34057500000001,-71.09795333333334,7.5,327178.39842072676,4689722.596583983,19,T
2022/02/08/16:22:43.082493,$GPGGA,42.34057833333333,-71.09795000000001,7.6,327178.68215256743,4689722.959950338,19,T
2022/02/08/16:22:44.081085,$GPGGA,42.34058333333334,-71.09794666666667,7.6,327178.97045069444,4689723.50838753,19,T
2022/02/08/16:22:45.105491,$GPGGA,42.34058666666667,-71.09794333333333,7.7,327179.25418247306,4689723.871753908,19,T
2022/02/08/16:22:46.082137,$GPGGA,42.340588333333336,-71.09794000000001,7.8,327179.533347916,4689724.050049469,19,T
2022/02/08/16:22:47.082724,$GPGGA,42.34059166666666,-71.097935,7.9,327179.9543792015,4689724.410028244,19,T
2022/02/08/16:22:48.084047,$GPGGA,42.34059333333333,-71.09793166666667,7.9,327180.23354460904,4689724.588323833,19,T
2022/02/08/16:22:49.099977,$GPGGA,42.34059666666667,-71.09792833333333,8.1,327180.517276276,4689724.95169026,19,T
2022/02/08/16:22:50.105100,$GPGGA,42.340599999999995,-71.09792333333333,8.3,327180.9383074596,4689725.311669091,19,T
2022/02/08/16:22:51.091305,$GPGGA,42.340601666666664,-71.09792,8.4,327181.2174728038,4689725.489964717,19,T
2022/02/08/16:22:52.084124,$GPGGA,42.340605000000004,-71.097915,8.6,327181.63850391685,4689725.849943591,19,T
2022/02/08/16:22:53.087879,$GPGGA,42.34060666666666,-71.09791166666668,8.8,327181.9176692192,4689726.028239242,19,T
2022/02/08/16:22:54.091482,$GPGGA,42.34061,-71.09790666666666,8.8,327182.3387002662,4689726.388218157,19,T
2022/02/08/16:22:55.088881,$GPGGA,42.34061166666667,-71.09790333333333,8.8,327182.61786553107,4689726.566513837,19,T
2022/02/08/16:22:56.082030,$GPGGA,42.34061499999999,-71.09789833333333,8.9,327183.0388965075,4689726.926492791,19,T
2022/02/08/16:22:57.087271,$GPGGA,42.34061833333333,-71.09789500000001,9.0,327183.32262793824,4689727.289859324,19,T
2022/02/08/16:22:58.094443,$GPGGA,42.34062166666666,-71.09789166666665,8.9,327183.60635934456,4689727.653225866,19,T
2022/02/08/16:22:59.089754,$GPGGA,42.340625,-71.09788666666667,8.9,327184.02739020635,4689728.013204877,19,T
2022/02/08/16:23:00.082860,$GPGGA,42.34062833333334,-71.09788166666667,9.0,327184.44842102495,4689728.373183913,19,T
2022/02/08/16:23:01.081253,$GPGGA,42.34063166666667,-71.09787833333333,9.0,327184.7321523291,4689728.7365505,19,T
2022/02/08/16:23:02.088301,$GPGGA,42.340635000000006,-71.09787333333334,9.0,327185.15318306664,4689729.096529574,19,T
2022/02/08/16:23:03.082273,$GPGGA,42.34063833333333,-71.09786833333332,9.0,327185.5742137675,4689729.456508673,19,T
